Year,Region,Country,City,Start_Date,End_Date,Stay_Days,Avg_Rent,Max_Rent,Min_Rent,Days_To_Rent,Area_sqm,Daily_Rent,Rental_Income,Avg_Stay_Days,Max_Stay_Days,Min_Stay_Days
2022,Asia,Japan,Delhi,2022-06-20,2022-07-22,32,1398,1763,1099,12,147,46.6,44736,30.379266666666666,60,1
2021,Asia,India,Berlin,2021-03-23,2021-05-10,48,1444,1754,1227,26,23,48.13,69312,30.379266666666666,60,1
2026,Europe,Germany,Berlin,2026-05-20,2026-07-08,49,827,2020,540,9,136,27.57,40523,30.379266666666666,60,1
2026,Europe,France,Munich,2026-08-27,2026-10-02,36,1785,2664,1649,5,61,59.5,64260,30.379266666666666,60,1
2025,China,China,Berlin,2025-06-03,2025-06-04,1,833,1780,474,2,106,27.77,833,30.379266666666666,60,1
2023,Europe,Italy,Sao Paulo,2023-03-17,2023-03-19,2,1820,2739,1715,23,61,60.67,3640,30.379266666666666,60,1
2020,South America,Argentina,Tokyo,2020-06-15,2020-08-14,60,807,1472,533,29,130,26.9,48420,30.379266666666666,60,1
2021,Europe,Italy,Tokyo,2021-11-11,2021-12-28,47,1204,2097,871,7,131,40.13,56588,30.379266666666666,60,1
2021,Asia,Japan,Tokyo,2021-05-07,2021-06-06,30,1212,2313,990,14,139,40.4,36360,30.379266666666666,60,1
2026,Asia,India,Berlin,2026-02-17,2026-03-25,36,934,1827,785,16,42,31.13,33624,30.379266666666666,60,1
2025,US,USA,Rome,2025-01-05,2025-03-01,55,1230,2306,1013,25,44,41.0,67650,30.379266666666666,60,1
2026,China,China,Munich,2026-04-04,2026-05-30,56,1112,2018,978,16,104,37.07,62272,30.379266666666666,60,1
2025,Asia,Japan,Paris,2025-08-12,2025-09-27,46,1350,2182,1034,10,30,45.0,62100,30.379266666666666,60,1
2024,Asia,India,Berlin,2024-05-09,2024-05-16,7,1627,2629,1510,24,75,54.23,11389,30.379266666666666,60,1
2026,US,USA,Delhi,2026-03-11,2026-04-21,41,1828,3022,1433,21,125,60.93,74948,30.379266666666666,60,1
2026,China,China,Berlin,2026-03-20,2026-04-18,29,1640,2053,1534,7,129,54.67,47560,30.379266666666666,60,1
2025,South America,Brazil,Sao Paulo,2025-10-29,2025-11-06,8,1178,1504,799,20,114,39.27,9424,30.379266666666666,60,1
2021,Asia,Japan,Munich,2021-01-02,2021-01-08,6,937,2038,823,5,33,31.23,5622,30.379266666666666,60,1
2020,Asia,India,Berlin,2020-02-16,2020-02-21,5,1000,1451,799,6,89,33.33,5000,30.379266666666666,60,1
2026,Europe,Italy,Tokyo,2026-08-13,2026-09-14,32,1184,1698,1051,15,113,39.47,37888,30.379266666666666,60,1
2021,US,USA,Delhi,2021-11-30,2022-01-07,38,1250,2071,860,16,55,41.67,47500,30.379266666666666,60,1
2022,Europe,France,Beijing,2022-03-29,2022-05-12,44,1282,1696,920,22,53,42.73,56408,30.379266666666666,60,1
2023,Europe,Germany,Tokyo,2023-03-01,2023-04-09,39,1728,2340,1478,4,67,57.6,67392,30.379266666666666,60,1
2020,US,USA,Munich,2020-02-18,2020-03-18,29,1681,2768,1473,15,136,56.03,48749,30.379266666666666,60,1
2022,US,USA,Munich,2022-04-27,2022-05-01,4,807,1993,481,23,64,26.9,3228,30.379266666666666,60,1
2020,Asia,India,New York,2020-07-10,2020-07-30,20,1829,2825,1543,24,23,60.97,36580,30.379266666666666,60,1
2022,Europe,France,Beijing,2022-09-29,2022-11-20,52,1062,1386,866,8,118,35.4,55224,30.379266666666666,60,1
2025,South America,Argentina,Berlin,2025-07-03,2025-08-03,31,1583,2232,1262,30,54,52.77,49073,30.379266666666666,60,1
2020,Europe,Italy,New York,2020-11-30,2020-12-06,6,847,1294,552,27,43,28.23,5082,30.379266666666666,60,1
2021,China,China,New York,2021-02-19,2021-04-01,41,1170,1551,797,7,47,39.0,47970,30.379266666666666,60,1
2026,China,China,Rome,2026-10-29,2026-11-24,26,1769,2878,1652,18,85,58.97,45994,30.379266666666666,60,1
2020,Europe,Germany,Paris,2020-10-13,2020-11-05,23,1105,2055,910,22,60,36.83,25415,30.379266666666666,60,1
2022,South America,Brazil,Sao Paulo,2022-07-12,2022-07-28,16,1779,2459,1408,10,116,59.3,28464,30.379266666666666,60,1
2024,Asia,Japan,Munich,2024-12-13,2025-01-15,33,1138,2062,823,12,100,37.93,37554,30.379266666666666,60,1
2020,Europe,Germany,Rome,2020-05-15,2020-06-16,32,1775,2123,1593,5,93,59.17,56800,30.379266666666666,60,1
2025,Europe,Italy,Beijing,2025-07-22,2025-09-20,60,1402,2537,1095,18,75,46.73,84120,30.379266666666666,60,1
2021,Asia,Japan,Delhi,2021-06-20,2021-07-02,12,1674,2583,1293,20,111,55.8,20088,30.379266666666666,60,1
2026,US,USA,Tokyo,2026-07-17,2026-09-07,52,1648,2745,1385,3,24,54.93,85696,30.379266666666666,60,1
2026,Asia,Japan,Sao Paulo,2026-05-12,2026-06-17,36,1009,1787,678,17,34,33.63,36324,30.379266666666666,60,1
2023,South America,Argentina,Munich,2023-07-31,2023-09-06,37,1176,1838,972,21,129,39.2,43512,30.379266666666666,60,1
2024,Asia,Japan,New York,2024-03-27,2024-04-09,13,1402,1832,1007,12,53,46.73,18226,30.379266666666666,60,1
2023,South America,Brazil,Rome,2023-08-20,2023-08-31,11,1257,1671,1022,20,91,41.9,13827,30.379266666666666,60,1
2021,China,China,Munich,2021-12-02,2022-01-25,54,1495,2557,1370,26,93,49.83,80730,30.379266666666666,60,1
2023,Europe,France,Paris,2023-12-27,2024-02-16,51,1224,2080,1025,29,58,40.8,62424,30.379266666666666,60,1
2021,Europe,France,Munich,2021-06-02,2021-07-06,34,926,2034,613,27,138,30.87,31484,30.379266666666666,60,1
2021,Asia,Japan,Sao Paulo,2021-09-22,2021-11-01,40,1729,2319,1526,20,41,57.63,69160,30.379266666666666,60,1
2024,US,USA,Paris,2024-09-28,2024-11-13,46,1391,2318,1058,5,139,46.37,63986,30.379266666666666,60,1
2025,South America,Argentina,Delhi,2025-05-07,2025-06-02,26,1962,2535,1596,4,44,65.4,51012,30.379266666666666,60,1
2021,US,USA,Munich,2021-04-13,2021-04-26,13,826,1807,626,10,137,27.53,10738,30.379266666666666,60,1
2023,Europe,France,New York,2023-06-19,2023-07-12,23,1123,1532,827,7,80,37.43,25829,30.379266666666666,60,1
2020,US,USA,Delhi,2020-03-09,2020-04-15,37,1175,2057,1061,28,99,39.17,43475,30.379266666666666,60,1
2022,China,China,Delhi,2022-10-07,2022-10-23,16,1371,1777,1205,27,126,45.7,21936,30.379266666666666,60,1
2023,US,USA,Berlin,2023-05-12,2023-05-27,15,1369,1964,1047,23,140,45.63,20535,30.379266666666666,60,1
2023,South America,Brazil,Paris,2023-05-23,2023-06-17,25,955,1879,743,21,44,31.83,23875,30.379266666666666,60,1
2023,China,China,Beijing,2023-01-30,2023-03-03,32,1478,2151,1114,7,52,49.27,47296,30.379266666666666,60,1
2021,China,China,Sao Paulo,2021-04-20,2021-05-24,34,1400,2089,1241,20,65,46.67,47600,30.379266666666666,60,1
2024,South America,Argentina,Berlin,2024-07-20,2024-09-18,60,1728,2346,1574,8,125,57.6,103680,30.379266666666666,60,1
2023,South America,Brazil,Berlin,2023-06-25,2023-07-22,27,1863,2628,1605,14,84,62.1,50301,30.379266666666666,60,1
